subject_id,subject_name,subject_program,subject_semester,year_count,years_offered,subject_codes
63715,Grafično oblikovanje,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_GO(63715), 2_BUN-UI, 3_BVS-RI_GO(63715)"
63716,Komunikacijski protokoli in omrežna varnost,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_KPOV(63716), 3_BVS-RI_KPOV(63716), 3_BUN-UI_KPOV(63716)"
63717,Organizacija računalnikov,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_OR(63717), 3_BVS-RI_OR(63717)"
63718,Digitalna vezja,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_DV(63718), 3_BVS-RI_DV(63718)"
63719,Računalniška grafika,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_RG(63719), 3_BVS-RI_RG(63719)"
63720,Umetna inteligenca,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_UI(63720), 3_BVS-RI_UI(63720), 3_BUN-UI_UI(63720)"
63721,Uporabniški vmesniki,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_UV(63721), 2_BUN-UI, 63721_PAD"
63722,Prevajalniki in navidezni stroji,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_PNS(63722), 63722_PAD"
63723,Algoritmi in podatkovne strukture 2,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI, 63723_PAD"
63724,Testiranje in kakovost,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_TK(63724), 63724_PAD"
63725,Razvoj informacijskih sistemov,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_RIS(63725), 63725_PAD"
63726,Produkcija multimedijskih gradiv,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_PMG(63726), 63726_PAD"
63727,Spletne tehnologije,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_ST(63727), 2_BUN-UI, 63727_PAD"
63728,Vhodno-izhodne naprave,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_VIN(63728), 63728_PAD"
63729,Načrtovanje digitalnih naprav,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_NDN(63729), 63729_PAD"
63732,Tehnologija programske opreme,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI
63734,Multimedijske tehnologije,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI_MT(63734)
63735,Vzporedni in porazdeljeni sistemi in algoritmi,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI_VPSA(63735)
63736,Sistemska programska oprema,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI_SPO(63736)
63737,Procesna avtomatika,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI_PA(63737), 3_BUN-RI_PA(63737), 3_BVS-RI_PA(63737)"
63738,Vgrajeni sistemi,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI_VS(63738), 3_BUN-RI_VS(63738), 3_BVS-RI_VS(63738)"
63739,Robotika in računalniško zaznavanje,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI_RRZ(63739)
63740,Tehnologija iger in navidezna resničnost,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI_TINR(63740)
63741,Odločitveni sistemi,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BMA-DJ_OS(63741), 3_BVS-RI_OS(63741)"
63742,Numerične metode,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI_NM(63742)
63744,Digitalno procesiranje signalov,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",
63749B,Izbrana poglavja iz računalništva in informatike,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_IPIRI(63749B), 3_BVS-RI_IPIRI(63749B)"
63750,Športna vzgoja 1,VSS,1,4,"['20/21', '22/23', '23/24', '24/25']",
63765,Podatkovno rudarjenje,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_PR(63765), 3_BUN-UI_PR(63765), 63765_PAD"
63766A,Tehnične veščine 2,VSS,2,1,['22/23'],
63766B,Tehnične veščine 2,VSS,2,1,['24/25'],"2_BVS-RI_(63766B), 3_BVS-RI_(63766B), 63766B_PAD"
63767,Tehnične veščine,VSS,1,2,"['19/20', '24/25']","2_BVS-RI_TV(63767), 3_BVS-RI_TV(63767)"
63767A,Tehnične veščine,VSS,1,4,"['20/21', '21/22', '22/23', '23/24']","2_BVS-RI_(63767A), 3_BVS-RI_(63767A), 63767A_PAD"
63768,Planiranje in upravljanje informatike,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",3_BVS-RI_PUI(63768)
63770,Diplomski seminar,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","3_BVS-RI_LV_01, 3_BVS-RI_LV_02, 3_BVS-RI_LV_03, 3_BVS-RI_LV_04, 3_BVS-RI_LV_05, 3_BVS-RI_LV_06"
63771,Športna vzgoja 2,VSS,2,2,"['23/24', '24/25']",
63772,Pravni vidiki informacijskih tehnologij,VSS,2,2,"['23/24', '24/25']","2_BVS-RI_(63772), 63772_PAD"
63773,Varnost organizacij,VSS,1,2,"['23/24', '24/25']","2_BVS-RI_(63773), 3_BVS-RI_(63773)"
63774,Varnost programov,VSS,2,2,"['23/24', '24/25']","2_BVS-RI_(63774), 63774_PAD"
63775,Varnost podatkov,VSS,1,2,"['23/24', '24/25']","2_BVS-RI_(63775), 3_BVS-RI_(63775)"
63776,Programiranje energijsko omejenih naprav,VSS,1,2,"['23/24', '24/25']","3_BVS-RI_(63776), 3_BVS-RI_(63776)"
63779,Človeški vidiki varnosti,VSS,1,1,['24/25'],3_BVS-RI_(63779)
63780,Varnost sistemov,VSS,1,1,['24/25'],3_BVS-RI_(63780)
